model,day,date,low,median,high,bias
randomforest,1,2026-06-15,944.2550921945056,995.8979686746322,1033.5948354369662,BULLISH
randomforest,2,2026-06-16,943.4417863565882,1012.6345499658642,1074.6107302465973,BULLISH
randomforest,3,2026-06-17,942.6284805186709,1029.3711312570963,1115.6266250562285,BULLISH
randomforest,4,2026-06-18,941.8151746807537,1046.1077125483282,1156.6425198658594,BULLISH
randomforest,5,2026-06-19,941.0018688428363,1062.8442938395601,1197.6584146754906,BULLISH
randomforest,6,2026-06-22,937.5073029383294,1070.5995283469583,1202.0484453018764,BULLISH
randomforest,7,2026-06-23,934.0127370338226,1078.3547628543565,1206.4384759282623,BULLISH
randomforest,8,2026-06-24,930.5181711293158,1086.1099973617547,1210.8285065546484,BULLISH
randomforest,9,2026-06-25,927.023605224809,1093.865231869153,1215.2185371810342,BULLISH
randomforest,10,2026-06-26,923.5290393203021,1101.6204663765511,1219.60856780742,BULLISH
randomforest,11,2026-06-29,928.7257075835523,1105.6399233131026,1232.0771081951489,BULLISH
randomforest,12,2026-06-30,933.9223758468027,1109.659380249654,1244.5456485828777,BULLISH
randomforest,13,2026-07-01,939.1190441100529,1113.6788371862053,1257.0141889706065,BULLISH
randomforest,14,2026-07-02,944.3157123733031,1117.6982941227568,1269.4827293583353,BULLISH
randomforest,15,2026-07-03,949.5123806365533,1121.7177510593083,1281.9512697460639,BULLISH
randomforest,16,2026-07-06,954.7090488998036,1125.7372079958598,1294.4198101337927,BULLISH
randomforest,17,2026-07-07,959.9057171630539,1129.7566649324112,1306.8883505215215,BULLISH
randomforest,18,2026-07-08,965.1023854263041,1133.7761218689625,1319.3568909092503,BULLISH
randomforest,19,2026-07-09,970.2990536895544,1137.795578805514,1331.825431296979,BULLISH
randomforest,20,2026-07-10,975.4957219528046,1141.8150357420654,1344.293971684708,BULLISH
randomforest,21,2026-07-13,962.5977326032365,1144.4633249612048,1397.1459481198103,BULLISH
randomforest,22,2026-07-14,949.6997432536684,1147.111614180344,1449.9979245549127,BULLISH
randomforest,23,2026-07-15,936.8017539041003,1149.7599033994836,1502.849900990015,BULLISH
randomforest,24,2026-07-16,923.9037645545322,1152.408192618623,1555.7018774251173,BULLISH
randomforest,25,2026-07-17,911.0057752049642,1155.0564818377622,1608.5538538602198,BULLISH
randomforest,26,2026-07-20,898.1077858553962,1157.7047710569016,1661.4058302953222,BULLISH
randomforest,27,2026-07-21,885.2097965058281,1160.3530602760409,1714.2578067304246,BULLISH
randomforest,28,2026-07-22,872.31180715626,1163.0013494951804,1767.109783165527,BULLISH
randomforest,29,2026-07-23,859.4138178066919,1165.6496387143197,1819.9617596006292,BULLISH
randomforest,30,2026-07-24,846.5158284571238,1168.297927933459,1872.8137360357316,BULLISH
randomforest,31,2026-07-27,857.7494318748832,1208.992806830663,1908.3753040534955,BULLISH
randomforest,32,2026-07-28,868.9830352926425,1249.6876857278671,1943.9368720712596,BULLISH
randomforest,33,2026-07-29,880.2166387104019,1290.3825646250714,1979.4984400890235,BULLISH
randomforest,34,2026-07-30,891.4502421281612,1331.0774435222754,2015.0600081067873,BULLISH
randomforest,35,2026-07-31,902.6838455459206,1371.7723224194795,2050.621576124551,BULLISH
randomforest,36,2026-08-03,913.9174489636799,1412.4672013166835,2086.183144142315,BULLISH
randomforest,37,2026-08-04,925.1510523814393,1453.1620802138875,2121.7447121600794,BULLISH
randomforest,38,2026-08-05,936.3846557991986,1493.8569591110918,2157.3062801778433,BULLISH
randomforest,39,2026-08-06,947.618259216958,1534.5518380082958,2192.867848195607,BULLISH
randomforest,40,2026-08-07,958.8518626347173,1575.2467169054999,2228.429416213371,BULLISH
