model,day,date,low,median,high,bias
xgboost,1,2026-06-01,949.9142456054688,1004.8936157226562,1011.0614013671875,BULLISH
xgboost,2,2026-06-02,946.1944274902344,1009.0289001464844,1016.8254089355469,BULLISH
xgboost,3,2026-06-03,942.474609375,1013.1641845703125,1022.5894165039062,BULLISH
xgboost,4,2026-06-04,938.7547912597656,1017.2994689941406,1028.3534240722656,BULLISH
xgboost,5,2026-06-05,935.0349731445312,1021.4347534179688,1034.117431640625,BULLISH
xgboost,6,2026-06-08,944.8765014648437,1034.7775390625,1047.28095703125,BULLISH
xgboost,7,2026-06-09,954.7180297851562,1048.1203247070312,1060.444482421875,BULLISH
xgboost,8,2026-06-10,964.5595581054688,1061.4631103515626,1073.6080078125,BULLISH
xgboost,9,2026-06-11,974.4010864257813,1074.8058959960938,1086.771533203125,BULLISH
xgboost,10,2026-06-12,984.2426147460938,1088.148681640625,1099.93505859375,BULLISH
xgboost,11,2026-06-15,978.2657653808594,1127.1729370117187,1140.5449829101562,BULLISH
xgboost,12,2026-06-16,972.288916015625,1166.1971923828125,1181.1549072265625,BULLISH
xgboost,13,2026-06-17,966.3120666503906,1205.2214477539062,1221.7648315429688,BULLISH
xgboost,14,2026-06-18,960.3352172851562,1244.245703125,1262.374755859375,BULLISH
xgboost,15,2026-06-19,954.3583679199219,1283.2699584960938,1302.9846801757812,BULLISH
xgboost,16,2026-06-22,948.3815185546875,1322.2942138671874,1343.5946044921875,BULLISH
xgboost,17,2026-06-23,942.4046691894531,1361.3184692382813,1384.2045288085938,BULLISH
xgboost,18,2026-06-24,936.4278198242188,1400.342724609375,1424.814453125,BULLISH
xgboost,19,2026-06-25,930.4509704589843,1439.3669799804688,1465.4243774414062,BULLISH
xgboost,20,2026-06-26,924.47412109375,1478.3912353515625,1506.0343017578125,BULLISH
xgboost,21,2026-06-29,930.6118896484375,1504.355810546875,1532.3588134765625,BULLISH
xgboost,22,2026-06-30,936.749658203125,1530.3203857421875,1558.6833251953126,BULLISH
xgboost,23,2026-07-01,942.8874267578125,1556.2849609375,1585.0078369140624,BULLISH
xgboost,24,2026-07-02,949.0251953125,1582.2495361328124,1611.3323486328125,BULLISH
xgboost,25,2026-07-03,955.1629638671875,1608.214111328125,1637.6568603515625,BULLISH
xgboost,26,2026-07-06,961.300732421875,1634.1786865234376,1663.9813720703125,BULLISH
xgboost,27,2026-07-07,967.4385009765625,1660.14326171875,1690.3058837890626,BULLISH
xgboost,28,2026-07-08,973.57626953125,1686.1078369140625,1716.6303955078124,BULLISH
xgboost,29,2026-07-09,979.7140380859375,1712.072412109375,1742.9549072265625,BULLISH
xgboost,30,2026-07-10,985.851806640625,1738.0369873046875,1769.2794189453125,BULLISH
xgboost,31,2026-07-13,991.9943481445313,1747.8863891601563,1777.400830078125,BULLISH
xgboost,32,2026-07-14,998.1368896484375,1757.735791015625,1785.5222412109374,BULLISH
xgboost,33,2026-07-15,1004.2794311523437,1767.5851928710938,1793.64365234375,BULLISH
xgboost,34,2026-07-16,1010.42197265625,1777.4345947265624,1801.7650634765625,BULLISH
xgboost,35,2026-07-17,1016.5645141601562,1787.2839965820312,1809.886474609375,BULLISH
xgboost,36,2026-07-20,1022.7070556640625,1797.1333984375,1818.0078857421875,BULLISH
xgboost,37,2026-07-21,1028.8495971679688,1806.9828002929687,1826.129296875,BULLISH
xgboost,38,2026-07-22,1034.992138671875,1816.8322021484375,1834.2507080078126,BULLISH
xgboost,39,2026-07-23,1041.1346801757813,1826.6816040039062,1842.372119140625,BULLISH
xgboost,40,2026-07-24,1047.2772216796875,1836.531005859375,1850.4935302734375,BULLISH
