Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,8,30,2.55,2.8,34.84,80.0,32.0,5,0.2025
2,30,40,2.63,2.87,35.76,80.0,36.7,5,0.2478
3,8,20,2.52,2.77,34.28,60.0,32.0,5,0.3361
4,12,30,2.63,2.85,35.92,80.0,30.0,5,0.3579
5,20,20,2.67,2.92,36.26,60.0,42.0,5,0.435
6,12,10,2.58,2.82,35.37,60.0,33.3,5,0.4477
7,20,40,2.76,3.0,37.33,80.0,34.0,5,0.4709
8,8,10,2.57,2.82,34.91,60.0,27.3,5,0.4748
9,20,10,2.67,2.92,36.29,60.0,39.3,5,0.4753
10,30,30,2.67,2.92,36.34,60.0,39.3,5,0.4812
11,30,10,2.69,2.94,36.6,60.0,39.3,5,0.5121
12,12,20,2.62,2.85,35.84,60.0,31.3,5,0.5307
13,25,30,2.68,2.92,36.33,60.0,34.7,5,0.5426
14,20,30,2.71,2.95,36.61,60.0,36.0,5,0.5582
15,25,10,2.71,2.96,36.77,60.0,37.3,5,0.5595
16,25,40,2.7,2.95,36.71,60.0,35.3,5,0.5796
17,12,40,2.69,2.91,36.74,60.0,35.3,5,0.5831
18,15,10,2.62,2.86,35.9,40.0,40.0,5,0.6195
19,10,30,2.67,2.92,36.91,60.0,34.0,5,0.621
20,10,40,2.68,2.92,36.96,60.0,34.0,5,0.6269
21,30,20,2.66,2.91,36.21,40.0,40.7,5,0.6468
22,5,10,2.6,2.87,35.51,40.0,32.7,5,0.6725
23,15,30,2.76,3.01,37.65,60.0,36.0,5,0.6816
24,25,20,2.68,2.93,36.38,40.0,38.7,5,0.6942
25,5,40,2.62,2.9,35.79,40.0,32.7,5,0.7058
26,5,30,2.62,2.9,35.79,40.0,32.7,5,0.7058
27,5,20,2.62,2.9,35.79,40.0,32.7,5,0.7058
28,8,40,2.72,2.98,37.45,60.0,32.0,5,0.7123
29,15,20,2.67,2.92,36.54,40.0,38.7,5,0.7131
30,10,10,2.63,2.88,36.12,40.0,34.7,5,0.7177
31,10,20,2.63,2.88,36.16,40.0,34.7,5,0.7225
32,15,40,2.77,3.02,37.63,60.0,32.7,5,0.7242
