Rank,half_life_days,distance_threshold_pct,MAE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,120,30,51.3,12.57,51.5,12.5,33,0.3808
2,120,40,51.3,12.57,51.5,12.5,33,0.3808
3,120,20,51.3,12.57,51.5,12.5,33,0.3808
4,120,15,51.3,12.57,51.5,12.5,33,0.3808
5,120,10,51.3,12.57,51.5,12.5,33,0.3808
6,60,10,51.42,12.6,51.5,9.0,33,0.4
7,60,30,51.42,12.6,51.5,9.0,33,0.4
8,60,20,51.42,12.6,51.5,9.0,33,0.4
9,60,15,51.42,12.6,51.5,9.0,33,0.4
10,60,40,51.42,12.6,51.5,9.0,33,0.4
11,500,15,49.33,12.08,48.5,31.0,33,0.5095
12,500,40,49.33,12.08,48.5,31.0,33,0.5095
13,500,30,49.33,12.08,48.5,31.0,33,0.5095
14,500,10,49.33,12.08,48.5,31.0,33,0.5095
15,500,20,49.33,12.08,48.5,31.0,33,0.5095
16,750,20,46.64,11.41,45.5,49.6,33,0.6
17,750,15,46.64,11.41,45.5,49.6,33,0.6
18,750,10,46.64,11.41,45.5,49.6,33,0.6
19,750,40,46.64,11.41,45.5,49.6,33,0.6
20,750,30,46.64,11.41,45.5,49.6,33,0.6
21,250,30,50.57,12.37,48.5,19.2,33,0.614
22,250,15,50.57,12.37,48.5,19.2,33,0.614
23,250,10,50.57,12.37,48.5,19.2,33,0.614
24,250,40,50.57,12.37,48.5,19.2,33,0.614
25,250,20,50.57,12.37,48.5,19.2,33,0.614
