Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,20,20,2.42,2.67,33.33,80.0,47.3,5,0.2415
2,30,10,2.43,2.67,33.47,80.0,46.7,5,0.2672
3,8,10,2.49,2.75,34.24,100.0,35.3,5,0.2926
4,20,10,2.45,2.69,33.87,80.0,49.3,5,0.296
5,25,10,2.45,2.68,33.79,80.0,47.3,5,0.3056
6,25,20,2.48,2.72,33.95,80.0,49.3,5,0.3071
7,15,20,2.46,2.71,33.96,80.0,48.7,5,0.3147
8,5,20,2.49,2.78,34.4,100.0,32.0,5,0.3491
9,15,10,2.48,2.74,34.36,80.0,50.0,5,0.357
10,12,30,2.49,2.75,34.27,80.0,48.0,5,0.3652
11,15,30,2.52,2.78,34.58,80.0,49.3,5,0.3949
12,10,30,2.54,2.81,34.78,80.0,46.7,5,0.4498
13,30,20,2.53,2.77,34.66,80.0,44.7,5,0.4538
14,5,40,2.53,2.81,34.02,80.0,32.0,5,0.4962
15,5,30,2.53,2.81,34.02,80.0,32.0,5,0.4962
16,20,30,2.56,2.82,35.14,80.0,46.7,5,0.4999
17,20,40,2.59,2.85,35.4,80.0,50.0,5,0.502
18,25,40,2.55,2.79,34.98,80.0,44.0,5,0.5056
19,12,40,2.47,2.73,34.22,60.0,50.7,5,0.5303
20,25,30,2.59,2.85,35.43,80.0,46.0,5,0.5476
21,15,40,2.49,2.74,34.26,60.0,48.7,5,0.5566
22,8,30,2.58,2.85,35.23,80.0,39.3,5,0.5892
23,10,40,2.54,2.8,34.87,60.0,51.3,5,0.6146
24,12,20,2.53,2.79,34.81,60.0,47.3,5,0.6477
25,30,30,2.65,2.9,36.2,80.0,46.0,5,0.6549
26,5,10,2.53,2.86,35.43,80.0,32.7,5,0.6854
27,30,40,2.53,2.78,34.89,60.0,44.0,5,0.6931
28,8,40,2.62,2.9,35.99,80.0,38.7,5,0.7013
29,10,20,2.55,2.82,35.05,60.0,43.3,5,0.7226
30,8,20,2.57,2.84,35.31,60.0,37.3,5,0.821
31,10,10,2.58,2.86,35.83,60.0,43.3,5,0.8313
32,12,10,2.58,2.84,35.77,60.0,40.7,5,0.8499
