Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,20,30,2.65,2.88,36.08,80.0,40.0,5,0.1387
2,8,20,2.6,2.87,35.16,80.0,26.7,5,0.2
3,8,30,2.6,2.87,35.16,80.0,26.7,5,0.2
4,8,10,2.6,2.86,35.22,80.0,26.7,5,0.205
5,25,30,2.6,2.83,35.35,60.0,45.3,5,0.2231
6,30,20,2.62,2.85,35.6,60.0,46.0,5,0.2366
7,30,10,2.63,2.86,35.7,60.0,46.0,5,0.2449
8,25,10,2.63,2.86,35.7,60.0,43.3,5,0.2729
9,20,10,2.67,2.91,36.58,60.0,38.7,5,0.3937
10,5,10,2.68,2.98,35.52,60.0,27.3,5,0.4237
11,25,20,2.63,2.87,35.78,40.0,44.0,5,0.4723
12,15,30,2.7,2.95,36.98,60.0,33.3,5,0.483
13,30,30,2.65,2.88,36.09,40.0,44.7,5,0.4908
14,10,30,2.74,3.01,37.12,60.0,31.3,5,0.5153
15,15,40,2.74,3.0,37.6,60.0,33.3,5,0.5345
16,30,40,2.64,2.87,35.94,40.0,36.7,5,0.5612
17,25,40,2.67,2.91,36.27,40.0,39.3,5,0.5617
18,10,10,2.76,3.04,37.65,60.0,30.0,5,0.5729
19,10,20,2.77,3.06,37.7,60.0,30.0,5,0.577
20,20,40,2.69,2.93,36.55,40.0,38.0,5,0.5985
21,8,40,2.75,3.03,37.57,60.0,26.7,5,0.6004
22,12,30,2.81,3.09,38.44,60.0,30.7,5,0.6313
23,20,20,2.7,2.94,36.88,40.0,36.7,5,0.6394
24,12,40,2.86,3.14,39.21,60.0,30.7,5,0.6953
25,5,40,2.79,3.12,36.71,40.0,26.7,5,0.7289
26,5,30,2.79,3.12,36.71,40.0,26.7,5,0.7289
27,5,20,2.79,3.12,36.71,40.0,26.7,5,0.7289
28,10,40,2.92,3.21,39.97,60.0,32.0,5,0.7451
29,12,10,2.79,3.08,38.29,40.0,33.3,5,0.7919
30,15,20,2.8,3.07,38.54,40.0,34.7,5,0.7982
31,12,20,2.81,3.09,38.43,40.0,33.3,5,0.8035
32,15,10,2.81,3.08,38.59,40.0,33.3,5,0.8168
