Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,12,30,33.44,39.31,10.62,100.0,53.3,5,0.0869
2,12,20,33.44,39.31,10.62,100.0,53.3,5,0.0869
3,12,10,33.44,39.31,10.62,100.0,53.3,5,0.0869
4,15,30,34.03,39.85,10.74,100.0,56.7,5,0.096
5,15,20,34.03,39.85,10.74,100.0,56.7,5,0.096
6,15,10,34.03,39.85,10.74,100.0,56.7,5,0.096
7,8,40,33.56,39.4,10.48,100.0,45.3,5,0.1119
8,8,10,33.63,39.48,10.5,100.0,45.3,5,0.1184
9,8,20,33.63,39.48,10.5,100.0,45.3,5,0.1184
10,8,30,33.63,39.48,10.5,100.0,45.3,5,0.1184
11,15,40,34.85,40.9,10.93,100.0,56.7,5,0.1578
12,10,30,34.1,39.59,10.84,100.0,51.3,5,0.1761
13,10,20,34.1,39.59,10.84,100.0,51.3,5,0.1761
14,10,10,34.1,39.59,10.84,100.0,51.3,5,0.1761
15,20,10,36.51,42.06,11.1,100.0,58.0,5,0.2016
16,10,40,34.67,40.56,10.96,100.0,51.3,5,0.2151
17,25,30,36.59,42.08,11.16,100.0,56.7,5,0.2326
18,25,10,36.89,42.54,11.23,100.0,58.0,5,0.2439
19,25,20,36.9,42.55,11.24,100.0,56.7,5,0.2586
20,20,20,37.1,42.68,11.36,100.0,57.3,5,0.2923
21,20,30,36.64,42.24,11.35,100.0,55.3,5,0.3067
22,5,10,34.12,39.33,10.83,100.0,35.3,5,0.3138
23,5,40,34.12,39.33,10.83,100.0,35.3,5,0.3138
24,5,30,34.12,39.33,10.83,100.0,35.3,5,0.3138
25,5,20,34.12,39.33,10.83,100.0,35.3,5,0.3138
26,20,40,37.36,43.11,11.47,100.0,55.3,5,0.3457
27,25,40,37.72,43.57,11.51,100.0,56.7,5,0.3464
28,30,10,38.02,43.91,11.48,100.0,54.7,5,0.3543
29,30,20,38.07,43.97,11.5,100.0,54.7,5,0.3608
30,30,40,38.24,44.19,11.61,100.0,54.7,5,0.3966
31,30,30,38.49,44.32,11.71,100.0,54.7,5,0.4291
32,12,40,34.69,40.55,10.92,80.0,53.3,5,0.5845
