Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,20,10,2.46,2.71,33.93,100.0,50.0,5,0.1256
2,8,10,2.42,2.66,32.89,80.0,44.7,5,0.2052
3,15,20,2.49,2.75,34.04,80.0,44.0,5,0.3432
4,15,10,2.49,2.75,34.25,80.0,45.3,5,0.3512
5,30,10,2.48,2.73,33.89,60.0,50.7,5,0.3793
6,10,10,2.56,2.83,35.3,100.0,41.3,5,0.3841
7,25,10,2.49,2.74,34.07,60.0,49.3,5,0.4164
8,20,20,2.49,2.76,34.24,60.0,50.0,5,0.4272
9,12,10,2.53,2.8,34.83,80.0,42.0,5,0.4561
10,15,40,2.53,2.81,34.59,60.0,50.7,5,0.4582
11,25,40,2.61,2.85,35.7,80.0,48.7,5,0.4739
12,10,20,2.56,2.83,34.89,80.0,40.7,5,0.4784
13,15,30,2.53,2.8,34.62,60.0,44.0,5,0.5418
14,20,40,2.57,2.84,35.24,60.0,47.3,5,0.5722
15,8,20,2.62,2.91,36.05,80.0,42.7,5,0.5852
16,20,30,2.57,2.82,35.1,60.0,44.7,5,0.5875
17,5,10,2.5,2.76,34.32,60.0,37.3,5,0.5883
18,12,30,2.56,2.83,34.93,60.0,42.7,5,0.5923
19,25,20,2.53,2.78,34.59,40.0,50.0,5,0.5999
20,25,30,2.59,2.85,35.34,60.0,45.3,5,0.6074
21,5,20,2.54,2.82,35.45,80.0,34.0,5,0.6218
22,30,20,2.6,2.85,35.55,60.0,46.0,5,0.6227
23,30,30,2.61,2.85,35.64,60.0,42.7,5,0.6723
24,12,40,2.62,2.9,35.79,60.0,43.3,5,0.682
25,8,40,2.67,2.96,36.44,60.0,44.7,5,0.7385
26,12,20,2.55,2.81,34.88,40.0,40.7,5,0.744
27,30,40,2.59,2.85,35.43,40.0,44.0,5,0.7664
28,10,30,2.63,2.88,35.83,40.0,44.0,5,0.8115
29,10,40,2.64,2.92,36.14,40.0,45.3,5,0.8309
30,5,40,2.6,2.88,35.29,40.0,36.7,5,0.8381
31,8,30,2.67,2.93,36.33,40.0,43.3,5,0.8762
32,5,30,2.62,2.9,35.73,40.0,35.3,5,0.9044
