Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,5,40,2.37,2.66,32.25,60.0,58.7,5,0.2226
2,5,30,2.39,2.67,32.6,60.0,58.0,5,0.2772
3,25,10,2.37,2.57,31.44,40.0,56.7,5,0.3126
4,8,10,2.41,2.65,33.08,60.0,56.0,5,0.3761
5,5,10,2.38,2.65,32.44,40.0,57.3,5,0.409
6,5,20,2.38,2.65,32.44,40.0,57.3,5,0.409
7,8,20,2.55,2.8,34.76,80.0,54.0,5,0.4739
8,10,10,2.38,2.6,32.33,40.0,53.3,5,0.4889
9,8,30,2.57,2.85,35.07,80.0,52.7,5,0.5379
10,12,10,2.43,2.66,32.86,40.0,53.3,5,0.5473
11,8,40,2.46,2.7,33.46,40.0,53.3,5,0.6134
12,30,10,2.46,2.67,32.97,20.0,56.7,5,0.6146
13,15,20,2.49,2.72,33.37,40.0,50.7,5,0.6632
14,12,30,2.49,2.74,33.73,40.0,52.0,5,0.673
15,12,20,2.51,2.76,33.85,40.0,51.3,5,0.7023
16,15,10,2.52,2.77,34.08,40.0,50.0,5,0.7576
17,20,10,2.51,2.73,33.68,20.0,53.3,5,0.771
18,10,20,2.46,2.7,33.16,20.0,50.7,5,0.7734
19,10,30,2.54,2.78,34.41,40.0,50.7,5,0.7778
20,30,30,2.57,2.84,34.88,40.0,52.0,5,0.7998
21,15,30,2.57,2.84,34.88,40.0,52.0,5,0.7998
22,20,30,2.57,2.84,34.88,40.0,52.0,5,0.7998
23,25,30,2.57,2.84,34.88,40.0,52.0,5,0.7998
24,30,20,2.53,2.76,33.92,20.0,52.0,5,0.8273
25,20,20,2.53,2.76,33.92,20.0,52.0,5,0.8273
26,25,20,2.53,2.76,33.92,20.0,52.0,5,0.8273
27,25,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
28,12,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
29,15,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
30,10,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
31,20,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
32,30,40,2.57,2.83,34.79,20.0,51.3,5,0.9393
