Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,20,40,2.5,2.75,33.97,80.0,43.3,5,0.2
2,30,40,2.46,2.69,33.58,60.0,48.7,5,0.2747
3,30,10,2.45,2.7,33.43,60.0,44.7,5,0.2945
4,20,20,2.56,2.81,34.83,80.0,36.0,5,0.2972
5,20,10,2.62,2.86,35.61,80.0,36.7,5,0.3343
6,20,30,2.49,2.73,33.84,60.0,41.3,5,0.3403
7,15,40,2.63,2.87,35.8,80.0,31.3,5,0.3822
8,12,20,2.61,2.85,35.56,80.0,28.7,5,0.3874
9,25,10,2.53,2.78,34.49,60.0,39.3,5,0.3892
10,10,30,2.6,2.84,35.31,80.0,25.3,5,0.3976
11,10,40,2.64,2.89,35.73,80.0,27.3,5,0.4063
12,5,30,2.72,3.03,37.54,100.0,22.0,5,0.4073
13,5,40,2.72,3.03,37.54,100.0,22.0,5,0.4073
14,12,40,2.66,2.91,36.32,80.0,30.7,5,0.4144
15,12,30,2.69,2.93,36.5,80.0,29.3,5,0.4338
16,8,40,2.67,2.95,36.68,80.0,30.0,5,0.4386
17,25,40,2.51,2.75,34.08,40.0,46.7,5,0.4489
18,15,10,2.69,2.95,36.6,80.0,27.3,5,0.4531
19,25,30,2.5,2.75,34.1,40.0,43.3,5,0.4737
20,30,30,2.53,2.76,34.42,40.0,43.3,5,0.4909
21,25,20,2.53,2.78,34.44,40.0,43.3,5,0.492
22,30,20,2.53,2.78,34.48,40.0,42.7,5,0.4983
23,15,30,2.64,2.89,35.92,60.0,32.7,5,0.5122
24,10,20,2.62,2.86,35.81,60.0,25.3,5,0.5579
25,15,20,2.68,2.92,36.58,60.0,27.3,5,0.5854
26,12,10,2.7,2.95,36.75,60.0,28.0,5,0.5897
27,5,20,2.81,3.14,38.95,80.0,22.0,5,0.6166
28,5,10,2.85,3.16,39.23,80.0,22.7,5,0.6268
29,8,30,2.73,3.0,37.43,60.0,24.0,5,0.6541
30,10,10,2.77,3.04,37.75,40.0,26.0,5,0.7908
31,8,20,2.8,3.08,38.53,40.0,24.0,5,0.8467
32,8,10,2.98,3.29,40.86,40.0,20.0,5,1.0
