Rank,K,MIN_GAP,MAE,RMSE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,30,40,2.63,2.86,35.76,80.0,38.7,5,0.3398
2,5,20,2.23,2.48,29.73,60.0,34.7,5,0.355
3,5,30,2.23,2.48,29.73,60.0,34.7,5,0.355
4,25,30,2.68,2.93,36.46,80.0,38.7,5,0.369
5,5,10,2.25,2.49,29.94,60.0,34.0,5,0.3754
6,20,40,2.69,2.94,36.37,80.0,37.3,5,0.3886
7,20,10,2.58,2.82,35.17,60.0,44.0,5,0.4269
8,8,30,2.62,2.87,35.62,80.0,32.0,5,0.4457
9,20,20,2.62,2.86,35.54,60.0,43.3,5,0.454
10,30,10,2.66,2.9,36.17,60.0,44.0,5,0.4686
11,30,30,2.66,2.9,36.18,60.0,42.7,5,0.4907
12,20,30,2.68,2.93,36.32,60.0,41.3,5,0.5199
13,25,20,2.66,2.9,36.14,60.0,40.7,5,0.5224
14,15,30,2.61,2.85,35.58,60.0,37.3,5,0.5557
15,25,40,2.69,2.93,36.53,60.0,37.3,5,0.5953
16,8,10,2.56,2.8,34.71,60.0,32.0,5,0.6077
17,8,20,2.58,2.83,34.89,60.0,32.0,5,0.6152
18,12,40,2.75,3.0,37.99,60.0,39.3,5,0.6229
19,10,30,2.71,2.95,37.06,60.0,34.7,5,0.6607
20,30,20,2.65,2.89,36.0,40.0,43.3,5,0.6732
21,25,10,2.69,2.94,36.54,40.0,41.3,5,0.729
22,8,40,2.78,3.04,38.1,60.0,32.0,5,0.7491
23,15,10,2.61,2.87,35.84,40.0,38.0,5,0.7548
24,10,40,2.85,3.11,39.32,60.0,34.7,5,0.755
25,15,40,2.65,2.9,36.0,40.0,38.0,5,0.7615
26,12,30,2.8,3.06,38.85,60.0,32.7,5,0.7687
27,15,20,2.63,2.88,35.97,40.0,36.7,5,0.7819
28,5,40,2.61,2.89,35.61,40.0,34.7,5,0.8003
29,10,20,2.7,2.95,36.93,40.0,34.7,5,0.8553
30,10,10,2.71,2.97,37.2,40.0,32.0,5,0.9116
31,12,20,2.78,3.04,38.36,40.0,34.0,5,0.9266
32,12,10,2.78,3.06,38.49,40.0,32.0,5,0.9654
