Rank,n_estimators,max_depth,learning_rate,MAE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,400,3,0.07,149.19,24.82,54.5,68.2,11,0.2768
2,400,3,0.15,155.6,26.17,72.7,60.0,11,0.2913
3,200,3,0.15,153.81,25.79,63.6,63.9,11,0.3069
4,100,3,0.03,147.6,24.13,36.4,75.2,11,0.3198
5,100,5,0.03,150.69,24.93,45.5,71.5,11,0.332
6,200,3,0.07,149.8,24.87,45.5,69.7,11,0.3452
7,100,4,0.03,148.27,24.42,36.4,74.5,11,0.3471
8,100,3,0.07,148.92,24.49,36.4,73.0,11,0.3666
9,100,4,0.15,154.63,26.0,54.5,66.4,11,0.3778
10,100,3,0.15,152.4,25.26,45.5,67.0,11,0.3989
11,400,4,0.03,153.14,25.54,45.5,68.5,11,0.4042
12,200,5,0.03,154.63,25.82,45.5,67.3,11,0.4356
13,200,4,0.03,152.71,25.31,36.4,71.2,11,0.442
14,200,3,0.03,150.89,24.78,27.3,74.8,11,0.4499
15,200,4,0.15,155.94,26.45,54.5,62.1,11,0.4512
16,200,4,0.07,155.79,25.95,45.5,65.8,11,0.4593
17,400,5,0.03,159.18,26.92,54.5,63.3,11,0.4729
18,400,5,0.07,161.01,27.47,63.6,56.1,11,0.5012
19,100,5,0.07,156.96,26.39,45.5,64.5,11,0.503
20,100,4,0.07,155.54,25.73,36.4,67.9,11,0.5036
21,400,4,0.15,157.41,26.89,54.5,59.4,11,0.5084
22,400,3,0.03,152.88,25.29,27.3,72.4,11,0.5092
23,100,5,0.15,163.33,27.91,54.5,62.7,11,0.5487
24,400,4,0.07,160.16,26.93,45.5,62.4,11,0.5615
25,200,5,0.07,159.53,27.04,45.5,59.4,11,0.5983
26,200,5,0.15,165.69,28.62,54.5,58.8,11,0.6367
27,400,5,0.15,170.02,29.78,63.6,54.5,11,0.6802
